ingredient_name,frequency,raw_examples,bls_rank,bls_entry_name,match_score,approve
"tofu, fest",8,"300 g Tofu, fest",3,Kartoffelsticks,0.56,
peperoni,8,140 g rote Peperoni,3,Pinienkern,0.556,
kresse-beet,8,½ Kresse-Beet,3,Preiselbeerkompott,0.552,
kerbel,8,1 Bund Kerbel,3,Kichererbsenmehl,0.545,
kurze nudeln,8,320 g kurze Nudeln,2,Curryreis mit Mandeln,0.545,
kurze nudeln,8,320 g kurze Nudeln,3,Reisnudeln gekocht,0.533,
eh. tl gemüsebouillon paste,8,1 geh. TL Gemüsebouillon Paste,1,Hecht gedünstet,0.524,
eh. tl gemüsebouillon paste,8,1 geh. TL Gemüsebouillon Paste,2,Fenchelgemüse gedünstet,0.52,
senfkörner,8,2 TL schwarze Senfkörner,2,Sauerkirschnektar,0.519,
senfkörner,8,2 TL schwarze Senfkörner,3,Haselnussmakronen,0.519,
eh. tl gemüsebouillon paste,8,1 geh. TL Gemüsebouillon Paste,3,Gemüsewaffeln pikant,0.511,
